row,contract_status,level,category,contract_code,contract_name,planning_code,planning_name,dev_rr,zerost_rr,opinion,client_feedback,extra_opinion,extracted_codes
4,,1,1. 인프라 및 개발환경 (INF),INF-01,DEV / STG / PRD 3환경 분리 구축,,,Z,질문,"서버 환경 셋팅을 개발서버, 검수서버, 운영서버 3종류를 다 해두는걸원하는지 재확인","운영서버는 판도에서, 검수 서버는 협의, 개발서버는 제로스트로 의견 드립니다.","운영/검수/개발 서버의 담당 주체가 제안되어있으나, 각 환경의 접근권한, 배포 책임, 장애 대응 책임, 비용 부담 주체가 불명확합니다. 개발 서버는 배포를 하는 것인지 로컬 컴퓨터에서 개발하는 것을 개발 서버라고 명시한 것인지 불확명합니다. 그리고 운영서버를 판도에서 담당하는 경우 제로스트의 배포·검수 가능 범위와 권한 제공 방식이 선행되어야 합니다.",INF-01
5,,1,1. 인프라 및 개발환경 (INF),INF-02,컨테이너 또는 서버리스 실행 환경 구성,,,Z,질문,"컨테이너, 서버리스 실행 환경의 구체적인 구조나 요구사항 확인 필요",Docker 컨테이너 형태,확인했습니다,INF-02
6,,1,1. 인프라 및 개발환경 (INF),INF-03,PostgreSQL DB 인스턴스 구축,,,Z,,,,,INF-03
7,,1,1. 인프라 및 개발환경 (INF),INF-04,환경변수 / 비밀정보 관리 체계 설계,,,Z,,,,,INF-04
8,,1,1. 인프라 및 개발환경 (INF),INF-05,HTTPS 적용 및 기본 보안 설정,,,Z,,,,,INF-05
9,,1,1. 인프라 및 개발환경 (INF),INF-06,로그 수집 및 모니터링 기본 구성,,,Z,,,,,INF-06
10,,1,1. 인프라 및 개발환경 (INF),INF-07,CI/CD 배포 파이프라인 설계·구성,,,Z,,,,,INF-07
11,,1,1. 인프라 및 개발환경 (INF),INF-08,도메인 / 서브도메인 연결 지원,,,Z,,,,,INF-08
12,,1,2. DB 스키마 설계 (DB),DB-01,ERD 설계 (14+ 주요 엔터티),,,Z,,,,,DB-01
13,,1,2. DB 스키마 설계 (DB),DB-02,멀티센터 branchId 격리 구조 설계,,,Z,,,,,DB-02
14,,1,2. DB 스키마 설계 (DB),DB-03,상태 변경 이력 관리 테이블 설계,,,Z,,,,,DB-03
15,,1,2. DB 스키마 설계 (DB),DB-04,PG / ERP / IoT / AI 확장 가능 키·이벤트 구조,,,Z,,,,,DB-04
16,,1,2. DB 스키마 설계 (DB),DB-05,리포트 / 통계 집계용 효율 구조 설계,,,Z,,,,,DB-05
17,,1,2. DB 스키마 설계 (DB),DB-06,마이그레이션 관리 체계 구성,,,Z,,,,,DB-06
18,,1,2. DB 스키마 설계 (DB),,,DB,멀티 테넌트/본사 어드민 확장 버전/디비 구조 설계 반영 필요,Z,,,,,
19,,1,3. 인증·인가·권한·설정 (AUTH / SET),AUTH-01,관리자 로그인 (세션 / 토큰 기반),AUTH-01,관리자 인증 / 세션 / 보안 정책,Z,,,,,AUTH-01
20,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,AUTH-01-01,로그인 폼,Z,,,,,AUTH-01-01
21,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,AUTH-01-02,인증 처리,Z,,,,,AUTH-01-02
22,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,AUTH-01-03,잠금 정책,Z,,,,,AUTH-01-03
23,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,AUTH-01-04,자동 로그아웃,Z,,,,,AUTH-01-04
24,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,AUTH-01-05,첫 로그인,Z,,,,,AUTH-01-05
25,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,AUTH-01-06,비밀번호 찾기,Z,,,,,AUTH-01-06
26,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,AUTH-01-07,ID 찾기,Z,,,,,AUTH-01-07
27,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,AUTH-01-08,감사 로그,Z,,50번 행의 AUTH-05 내용과 겹침,N/A,,AUTH-01-08
28,,1,3. 인증·인가·권한·설정 (AUTH / SET),AUTH-02,계정 등록 / 수정 / 잠금 / 비활성화,STF-EXT-01,직원 등록 / 수정,Z,,,,,"AUTH-02, STF-EXT-01"
29,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-01,기본 정보 입력,Z,,,,,STF-EXT-01-01
30,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-02,담당 서비스,Z,,,,,STF-EXT-01-02
31,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-03,급여 정보,Z,,,,,STF-EXT-01-03
32,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-04,로그인 계정,Z,,,,,STF-EXT-01-04
33,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-05,캘린더 색상,Z,추가,견적서에 명시된 부분이 없습니다. 필수사항이 아니라 보여집니다.,"화면 기획 없음
진행 여부 판단 필요(제외?)
기능이 추가된 히스토리 확인 필요",,STF-EXT-01-05
34,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-06,근로계약서 (선택),Z,,,,,STF-EXT-01-06
35,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-07,유효성 검사,Z,,,,,STF-EXT-01-07
36,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-08,이탈 확인,Z,,,,,STF-EXT-01-08
37,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,STF-EXT-01-09,저장 + 복귀,Z,,,,,STF-EXT-01-09
38,,1,3. 인증·인가·권한·설정 (AUTH / SET),AUTH-03,RBAC 구현 (6단계 + 커스텀 역할 기준),SET-02,권한 설정 (RBAC 매트릭스 + 영향 분석),Z,,,,,"AUTH-03, SET-02"
39,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,SET-02-01,역할 목록,Z,,,,,SET-02-01
40,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,SET-02-02,권한 매트릭스,Z,,,,,SET-02-02
41,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,SET-02-03,권한 변경,Z,,,,,SET-02-03
42,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,SET-02-04,민감 기능,Z,,,,,SET-02-04
43,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,SET-02-05,역할 생성,Z,,,,,SET-02-05
44,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,SET-02-06,역할 복사,Z,,,,,SET-02-06
45,,2,3. 인증·인가·권한·설정 (AUTH / SET),,,SET-02-07,역할 삭제,Z,,,,,SET-02-07
