key,label,kind,values,count,file,line,heading,raw
iot_device_types,IoT 기기 종류,canonical,InBody 측정기 / 락커 컨트롤러 / 출입 게이트 / 키오스크,4,_공통/00_KIOSK_연동매트릭스.md,5,KIOSK / IoT 연동 매트릭스,> CRM에서 고정으로 사용하는 기기 종류는 출입 게이트 / 키오스크 / 락커 컨트롤러 / InBody 측정기 4종입니다.
class_session_types,강습 세션 유형,canonical,PT / GX / 골프 / 기타,,_공통/KPI_지표정의.md,50,KPI 지표 정의 > 4. 강습 세션 유형과 GX 세부종목,"- 강습 세션 유형은 PT, GX, 골프, 기타입니다."
gx_subcategories,GX 세부종목,canonical,GX 기타 / 필라테스 / 스피닝 / 요가 / 줌바,,_공통/KPI_지표정의.md,52,KPI 지표 정의 > 4. 강습 세션 유형과 GX 세부종목,"- GX 세부종목은 요가, 필라테스, 스피닝, 줌바, GX 기타입니다."
generic::global::성격,성격,generic,날짜 기준 대상 산출 / 배너 / 알림 큐 동기화,,_공통/공통참조_코드인덱스.md,28,공통 참조 코드 인덱스 > 3. 공통 코드 기준 > NFR-05 만료/기한 알림 배치,- 성격: 날짜 기준 대상 산출과 배지·배너·알림 큐 동기화.
role_codes,권한 역할 코드,canonical,superAdmin / readonly / primary / manager / trainer / owner / staff / fc,8,_공통/권한매트릭스.md,4,공통 권한 매트릭스 > 기본 역할 원칙,"- 관리자 웹 기본 권한 역할 코드는 superAdmin, primary, owner, manager, fc, trainer, staff, readonly 8종으로 고정합니다. owner의 화면 표시명은 Owner(지점장)으로 통일합니다."
generic::global::출석 확인 실시간 반영,출석 확인 실시간 반영,generic,키오스크 / QR / RFID / 얼굴인식 / 수동 출석 이벤트가 들어오면 FC 확인,,_공통/외부연동_현황.md,9,공통 외부연동 현황,- 출석 확인 실시간 반영: 키오스크·QR·RFID·얼굴인식·수동 출석 이벤트가 들어오면 FC 확인 카드에 즉시 반영한다.
generic::global::15. 결제내역 탭 통합 표시,15. 결제내역 탭 통합 표시,generic,POS / 결제링크 / 수기 입력 모든 결제 채널이 하나의 타임라인에 노출,,_공통/외부연동_현황.md,23,공통 외부연동 현황,- 15. 결제내역 탭 통합 표시: POS·결제링크·수기 입력 모든 결제 채널이 하나의 타임라인에 노출. 미수금은 실제 계약금·잔액·할부 미납만 누적 합산하며 결제링크 발송만 된 건은 미수금에 포함하지 않음.
notification_channels,알림 채널,canonical,카카오톡 / Push / SMS,,_공통/외부연동_현황.md,24,공통 외부연동 현황,"- 19. 메시지 발송 채널 fallback: 자동 알림은 회원앱 Push를 기본으로 사용하고, KakaoTalk fallback은 지점 설정이 켜진 경우에만 사용한다. SMS 자동 전환은 사용하지 않는다."
signup_paths,가입경로,canonical,지역카페 / 회원소개 / 블로그 / 인스타 / 현수막 / 전단지 / 간판 / 당근 / 기타,,_공통/외부연동_현황.md,27,공통 외부연동 현황,"- 매니저 | 인입 콜 / 카카오 채널 사전 상담 후 등록 | Step 1 + Step 2 전체 입력 (문의 유형: 방문(WI) / 전화문의(TI) / 체험 / 일일입장, 가입경로: 간판 / 블로그 / 인스타 / 당근 / 지역카페 / 현수막 / 전단지 / 회원소개 / 기타, 광고동의·메모) | CRM·세그먼트(MBR-EXT-04) 분석 가능한 풀 프로파일 확보 |"
generic::global::9. 템플릿 자동 연동,9. 템플릿 자동 연동,generic,템플릿 선택 시 정원 / 유형 / 세션 유형 자동 채움 / 사용자 변경 가능,,_공통/외부연동_현황.md,92,공통 외부연동 현황,"- 9. 템플릿 자동 연동: 템플릿 선택 시 정원·유형·세션 유형 자동 채움, 사용자 변경 가능."
generic::global::신규 회원권 출시,신규 회원권 출시,generic,헬스 1개월 / 3개월 / 6개월 / 현금가 / 키오스크 노출,1,_공통/외부연동_현황.md,133,공통 외부연동 현황,- 신규 회원권 출시: 헬스 1개월·3개월·6개월·12개월 라인업 등록 -> 카드가/현금가/VAT 정책 일괄 입력 -> 카탈로그·키오스크 노출
generic::global::분실 처리된 카드 재사용 시도(외부),분실 처리된 카드 재사용 시도(외부),generic,출입 / 락커 / 결제 모두 차단 / 시도 로그 기록 / 운영자 알림,,_공통/외부연동_현황.md,146,공통 외부연동 현황,- 분실 처리된 카드 재사용 시도(외부): 출입·락커·결제 모두 차단 + 시도 로그 기록 + 운영자 알림
notification_channels,알림 채널,canonical,Push / 카카오톡 / SMS,,_정책미확정_확인필요.md,23,정책 미확정 확인 필요 > 고객사 추가 확인 질문,"- 쿠폰 발급 안내 메시지: 쿠폰 발급 완료 후 회원에게 자동 메시지를 보낼지 확인이 필요하다. 발송한다면 항상 기본 템플릿으로 발송할지, 직원이 발급 메시지를 입력한 경우에만 발송할지, 발송 채널을 Push / 카카오톡 / SMS 중 무엇으로 할지 확정해야 한다. 고객사 확인 전까지 MKT-03은 쿠폰 발급만 개발 기준으로 삼고, 메시지 자동 발송·입력 필드·재시도 정책·발송 실패 처리는 개발 대기한다."
generic::SCR-107::탭 전환,탭 전환,generic,기능명세 / 화면설계,,D01-공통/공통.md,487,D01-공통 공통 > SCR-107 화면설계서 오버레이 (Cmd+/) > 2. UI 구성,- 탭 전환: 기능명세 / 화면설계
