source_path,output_scope,classification,title,start_line,heading_codes,body_codes,matched_v1_codes,matched_v2_codes,output_path,basis,warning
docs2/D01-공통/공통.md,V1,V1_SUPPORT,문서 서문,1,,,,,V1/D01-공통/공통.md,직접 매칭 코드 없음. 같은 원본 파일의 구현 기준을 이해하기 위한 보조 섹션입니다.,직접 매칭 코드는 없지만 같은 원본 파일의 V1 구현 이해에 필요한 공통/운영 보조 섹션입니다.
docs2/D01-공통/공통.md,V2,V2_SUPPORT,문서 서문,1,,,,,V2/D01-공통/공통.md,직접 매칭 코드 없음. 같은 원본 파일의 구현 기준을 이해하기 위한 보조 섹션입니다.,V2 구현에도 공통으로 필요한 보조 섹션입니다.
docs2/D01-공통/공통.md,V2,V2_UNMAPPED,문서 메타,5,,,,,V2/D01-공통/공통.md,직접 매칭 코드 없음. V1 행 범위에 포함되지 않은 기타/보류 섹션입니다.,체크리스트 V1 코드와 직접 매칭되지 않아 V2/보류 영역으로 배치했습니다.
docs2/D01-공통/공통.md,V1,V1_SUPPORT,도메인 개요,14,,,,,V1/D01-공통/공통.md,직접 매칭 코드 없음. 같은 원본 파일의 구현 기준을 이해하기 위한 보조 섹션입니다.,직접 매칭 코드는 없지만 같은 원본 파일의 V1 구현 이해에 필요한 공통/운영 보조 섹션입니다.
docs2/D01-공통/공통.md,V2,V2_SUPPORT,도메인 개요,14,,,,,V2/D01-공통/공통.md,직접 매칭 코드 없음. 같은 원본 파일의 구현 기준을 이해하기 위한 보조 섹션입니다.,V2 구현에도 공통으로 필요한 보조 섹션입니다.
docs2/D01-공통/공통.md,V2,V2_UNMAPPED,화면,19,,,,,V2/D01-공통/공통.md,직접 매칭 코드 없음. V1 행 범위에 포함되지 않은 기타/보류 섹션입니다.,체크리스트 V1 코드와 직접 매칭되지 않아 V2/보류 영역으로 배치했습니다.
docs2/D01-공통/공통.md,V1,V1,SCR-100 로그인,20,SCR-100,"SCR-100, MFN-SCR-100, AUTH-01, DLG-000, STF-02, SCR-097","AUTH-01, AUTH-01-01, AUTH-01-02, AUTH-01-03, AUTH-01-04, AUTH-01-05, AUTH-01-06, AUTH-01-07, AUTH-01-08, STF-02, STF-02-01, STF-02-02, STF-02-03, STF-02-04, STF-02-05, STF-02-06, STF-02-07, STF-02-08",,V1/D01-공통/공통.md,`AUTH-01`: 19행 `AUTH-01` 관리자 인증 / 세션 / 보안 정책; `AUTH-01-01`: 19행 `AUTH-01` 관리자 인증 / 세션 / 보안 정책; `AUTH-01-02`: 19행 `AUTH-01` 관리자 인증 / 세션 / 보안 정책; `AUTH-01-03`: 19행 `AUTH-01` 관리자 인증 / 세션 / 보안 정책; `AUTH-01-04`: 19행 `AUTH-01` 관리자 인증 / 세션 / 보안 정책; `AUTH-01-05`: 19행 `AUTH-01` 관리자 인증 / 세션 / 보안 정책; 외 12개,연결 기능 기준으로 범위 내 기능 코드를 명시했습니다.
docs2/D01-공통/공통.md,V2,V2_SPLIT,SCR-101 대시보드 통합,96,SCR-101,"SCR-101, MFN-SCR-101, SCR-090, HQ-09","HQ-09, HQ-09-01, HQ-09-02, HQ-09-03, HQ-09-04, HQ-09-05, HQ-09-06, HQ-09-07, HQ-09-08, HQ-09-09, HQ-09-10",,V2/D01-공통/공통.md,직접 매칭 코드 없음. V1 행 범위에 포함되지 않은 기타/보류 섹션입니다.,원본 섹션에 V2 전용 용어가 포함되어 표/목록/문단 단위로 자동 분리했습니다. V2 주제 제목 아래의 블록을 V2로 이동했습니다. / V2 전용 용어가 포함된 블록을 V2로 이동했습니다. / V1 코드가 있지만 V2 주제 제목 아래에 있어 해당 블록 전체를 V2로 이동했습니다. 연결 기능 기준으로 범위 내 기능 코드를 명시했습니다.
docs2/D01-공통/공통.md,V2,V2_UNMAPPED,SCR-102 사이드바 네비게이션,168,SCR-102,"SCR-102, MFN-SCR-102, SCR-108, DLG-000",,,V2/D01-공통/공통.md,직접 매칭 코드 없음. V1 행 범위에 포함되지 않은 기타/보류 섹션입니다.,체크리스트 V1 코드와 직접 매칭되지 않아 V2/보류 영역으로 배치했습니다. 연결 기능 기준으로 범위 내 기능 코드를 명시했습니다.
docs2/D01-공통/공통.md,V2,V2_UNMAPPED,SCR-103 글로벌 검색,225,SCR-103,"SCR-103, MFN-SCR-103",,,V2/D01-공통/공통.md,직접 매칭 코드 없음. V1 행 범위에 포함되지 않은 기타/보류 섹션입니다.,체크리스트 V1 코드와 직접 매칭되지 않아 V2/보류 영역으로 배치했습니다. 연결 기능 기준으로 범위 내 기능 코드를 명시했습니다.
docs2/D01-공통/공통.md,V1,V1,SCR-104 알림 센터,280,SCR-104,"SCR-104, MFN-SCR-104, HQ-09","HQ-09, HQ-09-01, HQ-09-02, HQ-09-03, HQ-09-04, HQ-09-05, HQ-09-06, HQ-09-07, HQ-09-08, HQ-09-09, HQ-09-10",,V1/D01-공통/공통.md,`HQ-09`: 731행 `HQ-09` 자동화 정책 라이브러리; `HQ-09-01`: 731행 `HQ-09` 자동화 정책 라이브러리; `HQ-09-02`: 731행 `HQ-09` 자동화 정책 라이브러리; `HQ-09-03`: 731행 `HQ-09` 자동화 정책 라이브러리; `HQ-09-04`: 731행 `HQ-09` 자동화 정책 라이브러리; `HQ-09-05`: 731행 `HQ-09` 자동화 정책 라이브러리; 외 5개,범위 내 직접 연결 기능 없음으로 명시했습니다.
